var,metric,value,verb
causativity,precision,0.03,update
causativity,recall,1.0,update
causativity,fscore,0.05,update
causativity,accuracy,0.65,update
subject_animacy,precision,0.74,update
subject_animacy,recall,0.98,update
subject_animacy,fscore,0.84,update
subject_animacy,accuracy,0.85,update
subject_role,precision,0.9,update
subject_role,recall,0.92,update
subject_role,fscore,0.91,update
subject_role,accuracy,0.93,update
transitivity,precision,0.97,update
transitivity,recall,0.84,update
transitivity,fscore,0.9,update
transitivity,accuracy,0.92,update
